id,partner_name,brand_id,brand_name,title,details_text,discount_amount,vigencia_days,source_url,valid_from,valid_to
739,Todo medio de pago,1,Copec,⛽️🚗 $50 de descuento por litro de combustible,"Usuarios nuevos de la app Copec, tienen $50 de rebaja por litro de combustible en la primera transacción y cupones por $50 de descuento por litro al referir amigos que hagan su primera compra. Esta promoción es válida exclusivamente en Estaciones de Servicio Copec que cuenten con app Copec disponible. Participan todos los clientes que realicen su primera compra de Gasolinas (93, 95, 97) o Petróleo Diésel con tarjetas asociadas en la app Copec y seleccionen su cupón al finalizar la compra. Cupón no válido en Estaciones de Servicio Zervo.",$50/lt,"lu, ma, mi, ju, vi, sa, do",https://descuentosrata.com/cupones/534/ref-muevocopec,2025-04-09T10:28:26-04:00,2026-01-01T00:00:00-03:00
740,Santander,1,Copec,⛽️🚗 $50 de descuento por litro de combustible,"Promoción válida para clientes titulares de crédito automotriz Santander Consumer con pago de crédito al día, y que realicen el pago de combustible a través de la app Copec con las tarjetas asociadas de viernes a viernes hasta el mes de diciembre de 2025. Válido solo un cupón vigente por cliente. Válido solo un cupón vigente por semana. Usuarios nuevos recibirán su cupón correspondiente por la promoción “Santander Consumer Chile LTDA” hasta 7 días hábiles y consiste en $50/lt a través de la app Copec con un límite de 70 litros por carga, en gasolina o diésel en cualquiera de las Estaciones de Servicio COPEC que cuenten con este medio de pago.",$50/lt,"lu, ma, mi, ju, vi, sa, do",https://www.appcopec.cl/promo-y-beneficios/santander-consumer/,2025-04-09T10:37:35-04:00,2026-01-01T00:00:00-03:00
741,Tarjetas de crédito Coopeuch,1,Copec,⛽️🚗 $100 de descuento por litro de combustible,"Promoción válida para todos los jueves de 2025. Válido para compra de combustible (93, 95, 97 octanos), pagando con tarjetas de Crédito Coopeuch a través de app Copec. El descuento será abonado en la cuenta del socio, en un plazo máximo de 10 días hábiles. El precio para el cálculo del descuento por litro de combustible es de $1.112. Beneficio válido solo para compras con boleta.",$100/lt,ju,https://www.appcopec.cl/promo-y-beneficios/coopeuch/,2025-04-09T10:46:58-04:00,2026-01-01T00:00:00-03:00
743,Todo medio de pago,1,Copec,⛽️🚗 $50 de descuento por litro de combustible,"Beneficio consiste en un cupón de $50/lt de descuento para socios del Plan Movilidad en las Estaciones de Servicios adheridas de Copec pagando con tarjetas asociadas app Copec para compras de Gasolina (93,95, 97 octanos) o Petróleo Diesel. No es válido en estaciones de servicio Zervo. El descuento estará disponible en un cupón todos los días miércoles, válido para una transacción al día. El monto máximo de descuento por mes será de $10.000 por socio titular.",$50/lt,mi,https://www.appcopec.cl/promo-y-beneficios/automovil-club/,2025-04-09T11:00:22-04:00,2026-01-01T00:00:00-03:00
745,Cencosud Scotiabank,1,Copec,⛽️🚗 Hasta $100 de descuento por litro de combustible,"Promoción válida los días lunes pagando con tu Cencosud Scotiabank Mastercard asociada a la app Copec. Válido para compras de Gasolinas 93, 95, 97 o Petróleo Diesel. Tarjeta Clásica y Platinum con $50 por&nbsp;litro y Black con $100. Descuento aplica automáticamente al momento del pago en la app.",Hasta $100/lt,lu,https://www.appcopec.cl/promo-y-beneficios/tarjeta-cencosud-scotiabank/,2025-04-09T11:11:10-04:00,2025-12-01T00:00:00-03:00
746,BCI,1,Copec,⛽️🚗 $100 de descuento por litro en combustible,"$100 de descuento, equivalente a 7% de cashback, los jueves pagando con Tarjeta de Crédito Bci mediante App Copec. Las compras válidas que reciben cashback son aquellas que se activen previo a la compra a través de la plataforma BciPlus+ en los canales App Bci o web privada bci.cl y se paguen mediante App Copec. Promoción válida los jueves de abril, para una carga de máximo 70 lts. de combustible (diésel, gasolinas 93, 95 y 97) por RUT, que se pague con Tarjeta de Crédito Bci mediante App Copec. Las compras válidas que reciben cashback son aquellas que se activen previo a la compra a través de la plataforma BciPlus+ en los canales App Bci o web privada bci.cl&nbsp;y se paguen mediante App Copec.",$100/lt,ju,https://www.appcopec.cl/promo-y-beneficios/banco-bci-2/,2025-04-09T11:13:29-04:00,2025-12-01T00:00:00-03:00
747,Banco Internacional,1,Copec,⛽️🚗 $100 de descuento por litro de combustible,"$100 de descuento todos los Martes del año pagando con tus Tarjetas de Crédito Mastercard Clásica, Gold y Black de Banco Internacional asociada en la app Copec para compras de Gasolinas (93,95, 97 octanos) o Petróleo Diesel. No es válido en Estaciones Autoservicios. El descuento aplica de manera automática pagando con la aplicación Copec.",$100/lt,ma,https://www.appcopec.cl/promo-y-beneficios/banco-internacional/,2025-04-09T11:21:18-04:00,2026-01-01T00:00:00-03:00
748,Todo medio de pago,2,Shell,⛽️🚗 $50 de descuento por litro de combustible,"Descuento de $50 por litro a través de la&nbsp;app MiCopiloto&nbsp;con todo medio de pago en Shell, que se aplica a los primeros 70 litros de carga. Los usuarios de la app Micopiloto pueden recibir un $50 de descuento por litro el día de su cumpleaños y durante los seis días después de la fecha. El tope es de una carga de máximo 70 litros.",$50/lt,"lu, ma, mi, ju, vi, sa, do",https://www.shell.cl/estaciones-de-servicio/micopiloto.html,2025-04-09T11:26:42-04:00,2026-01-01T00:00:00-03:00
749,Líder BCI,2,Shell,⛽️🚗 $100 de descuento por litro de combustible,Dcto. válido en la App Micopiloto de Shell todos los martes. Tope de dcto. $4.000 por transacción. Máximo de 2 transacciones por cliente al mes. &nbsp;,$100/lt,ma,https://tarjetaliderbci.cl/contenidos/descuentos/detalle/737/llena-tu-estanque-de-combustible-en-abril-tienes-100-dcto-por-litro-en-app-micopiloto,2025-04-09T11:35:37-04:00,2025-12-01T00:00:00-03:00
751,Tenpo Mastercard,2,Shell,⛽️🚗 Hasta $300 de cashback por litro de combustible,"Al pagar con tarjetas Tenpo, los viernes puedes conseguir entre $50 y $300 de cashback por litro de bencina pagando en tus apps de bencina (Copec, Petrobras, Aramco). Tope de $4.000 por carga, sólo puede usarse dos veces al mes. Promoción acumulable con otros descuentos de cada app. Encuentra el beneficio en la sección Misiones de tu app Tenpo.",Hasta $300/lt,vi,https://www.tenpo.cl/beneficios/apps-bencina-abril,2025-04-09T11:55:00-04:00,2025-12-01T00:00:00-03:00
752,BICE,2,Shell,⛽️🚗 $100 de descuento por litro de combustible en 📱 app MiCopiloto,"Obtén $100 de dcto. por litro de combustible los domingos del mes,&nbsp;pagando con la app Micopiloto de Shell con tu Tarjeta de Crédito BICE. Tope dcto. mensual de $5.000 total, con 1 transacciones mensual por usuario Micopiloto y por Tarjeta de Crédito BICE. Promoción válida para clientes con tarjeta de crédito Signature Visa, Infinite Visa, Platinum Visa o Gold Visa BICE.",$100/lt,do,https://banco.bice.cl/personas/beneficios/micopiloto-shell,2025-04-09T11:59:39-04:00,2025-12-01T00:00:00-03:00
761,WOM,2,Shell,⛽️ $100 de descuento por litro de combustible para clientes WOM en Shell,"Para obtener tu descuento sigue los siguientes pasos: 1. EI miércoles, ingresa a la app WOM y solicita el código de descuento.&nbsp; 2.Ingresa el código en la app Micopiloto. ¡Listo! Ahora podrás acceder a $100 Dcto/Lt. &nbsp; Condiciones del descuento: . Descuento de 100 $/Lt de combustible diésel y gasolinas (93, 95 y V-Power). . Válido únicamente el mismo día en que se realiza el canje del código desde la App WOM. • Limite de $1.800. . Una carga por código.",$100 off por litro,mi,https://www.wom.cl/beneficios/marcas/micopiloto,2025-04-15T13:54:11-04:00,2025-12-01T00:00:00-03:00
763,Todo medio de pago,3,Petrobras,⛽️🚗 $15 de descuento por litro de combustible para municipalidades adheridas,"Descuento válido en las estaciones adheridas de tu comuna los días lunes y martes con cualquier medio de pago para los municipios adheridos a la AMUCH. Puedes revisar si tu comuna está inscrita en el beneficio aquí. Detalle descuento Alianza AMUCH. Dcto: De&nbsp; $15 por litro en gasolina y/o diésel. Dcto: De $40 por litro de parafina Dcto: De&nbsp; $20&nbsp; por litro en gasolina y/o diésel para adultos mayores. Vigencia : hasta el 31 de diciembre 2025. Topes:&nbsp; 2 cargas de combustible y parafina por día Topes de monto combustible:&nbsp; $120.000 por carga Operatividad:&nbsp; El descuento se activa entregando tu RUT previo a la carga de&nbsp;combustible, esto significa que, con el descuento aplicado recibirás más&nbsp;litros por el monto solicitado. Para acceder a este descuento,&nbsp; ingresa tus datos en este formulario . Una vez validado, serás notificado mediante correo electrónico que tu beneficio se encuentra activo. &nbsp; &nbsp;",$15/lt,"lu, ma",https://www.petrobrasdistribucion.cl/promociones/descuento-con-tu-rut/amuch/,2025-05-05T14:00:46-04:00,2026-01-01T00:00:00-03:00
764,Caja Los Andes,3,Petrobras,⛽️🚗 $15 de descuento por litro de combustible,"$15 de descuento en combustible y $25 de descuento en parafina para afiliados Caja de Los Andes sólo con tu RUT. Vigencia promoción : hasta el 31 de diciembre de 2025. Topes: &nbsp;4 carga al mes por afiliado con tope de monto de $120.000 para combustible y $30.000 para Parafina. Validez : Descuento aplica los días viernes. Operatividad:&nbsp; El descuento se activa entregando tu RUT previo a&nbsp;la carga de combustible, esto significa que, con el descuento&nbsp;aplicado recibirás más litros por el monto solicitado.",$15/lt,vi,https://www.petrobrasdistribucion.cl/promociones/descuento-con-tu-rut/caja-los-andes/,2025-05-05T14:28:27-04:00,2026-01-01T00:00:00-03:00
1092,Banco Ripley,3,Petrobras,⛽️ Hasta $150 de descuento por litro de combustible con Banco Ripley en Petrobras,Hasta $150 de descuento por litro los miércoles pagando con tarjeta de crédito o débito Banco Ripley Mastercard. La promoción tiene un tope de $8.000 mensuales. El beneficio se abona en 48 horas y se verá en tu estado de cuenta. Los clientes Plus tienen $100 de descuento por litro; los clientes Silver tendrán $125 y los clientes Gold $150.,Hasta $150 off x lt,mi,https://www.petrobrasdistribucion.cl/promociones/descuento-con-medios-de-pago/descuento-ripley/,2025-07-08T16:03:20-04:00,2025-12-01T00:00:00-03:00
1093,"Rutpay, de BancoEstado",1,Copec,⛽️ $100 de descuento por litro de combustible pagando con Rutpay en Copec,"Pagando con Rut Pay de Banco Estado, tienes $100 de descuento por litro de bencina en Copec todos los viernes. Límite de 50 litros por carga de gasolina, diésel y kerosene. Además, pagando con Rutpay acumulas puntos Full Copec.",$100/lt,vi,,2025-07-08T16:14:11-04:00,2026-01-01T00:00:00-03:00
1213,Cencosud Scotiabank,1,Copec,⛽️🚗 Hasta $100 de descuento por litro en combustible pagando con Cencosud Scotiabank en Copec,"Promoción válida los días miércoles pagando con las tarjetas de crédito Visa Scotiabank asociada en la app Copec para compras de Gasolinas (93,95, 97 octanos) o Petróleo Diesel. Descuento diferenciado por tipo de tarjeta: $25 planitum y Gold, $50 Visa Scotia Signature, $75 Visa Scotia Infinite y $100 Singular. Descuento aplica automáticamente al momento del pago en la app.",Desde $25/lt,mi,https://www.appcopec.cl/beneficios-appcopec/combustible/scotiabank/,2025-09-04T11:40:30-04:00,2026-01-01T00:00:00-03:00
1489,MACHBANK,1,Copec,⛽️ $100 de descuento por litro de bencina con tarjetas de crédito MACHBANK en Copec,"Aprovecha $100 de descuento el día Sábado pagando con tus Tarjetas de crédito MACHBANK asociadas en la app Copec para compras de combustible (93,95, 97 octanos) o Petróleo Diesel.",$100/lt,sa,https://www.appcopec.cl/beneficios-appcopec/combustible/mach/,2025-11-03T15:39:37-03:00,2025-12-01T00:00:00-03:00
1490,Scotia,1,Copec,⛽️ Hasta $100 de descuento por litro en combustible con Visa Scotiaban en Copec,Aprovecha tu descuento todos los miércoles del año. Tienes hasta $100 de descuento por litro en combustible pagando con tus tarjetas de crédito Visa Scotiabank a través de app Copec todos los miércoles.,Hasta $100 off x lt,mi,https://www.appcopec.cl/beneficios-appcopec/combustible/scotiabank/,2025-11-03T15:47:35-03:00,2025-12-01T00:00:00-03:00
1491,Banco Internacional,1,Copec,⛽️🚗 $100 de descuento por litro en combustible con Banco Internacional en Copec,"Aprovecha $100 de descuento todos los Martes del año pagando con tus Tarjetas de Crédito Mastercard Clásica, Gold y Black de Banco Internacional asociada en la app Copec para compras de Gasolinas (93,95, 97 octanos) o Petróleo Diesel.",$100/lt,ma,https://www.appcopec.cl/beneficios-appcopec/combustible/banco-internacional/,2025-11-03T15:52:04-03:00,2025-12-01T00:00:00-03:00
